lucode,code,nlcd,lulc_desc,notes,bioregion,bio_desc,nlud_simple,nlud_simple_class,nlud_simple_subclass,fertilizer,pesticide,irrigation,planting_diversity,mowing,public_access,green_space,building_type,tree,tree_canopy_percentage,tree_canopy_cover,tree_canopy_colors,shade,kc,albedo,green_area,building_intensity
46,1712,71,Herbaceuous,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.960496461,0.172133717,1,0.0
47,1713,71,Herbaceuous,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.9793161892,0.15864364039999998,1,0.0
48,1810,81,Hay/Pasture,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.931543033,0.170985145,1,0.0
49,1811,81,Hay/Pasture,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.9424005684999999,0.16648778890000002,1,0.0
50,1812,81,Hay/Pasture,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.960496461,0.15899219539999998,1,0.0
51,1813,81,Hay/Pasture,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.9793161892,0.15119677816,1,0.0
52,1820,82,Cultivated Crops,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.717213727,0.160713043,0,0.0
53,1821,82,Cultivated Crops,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.7602206584,0.1577565022,0,0.0
54,1822,82,Cultivated Crops,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.8318988774,0.1528289342,0,0.0
55,1823,82,Cultivated Crops,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.90644422516,0.14770426348,1,0.0
56,1900,90,Woody Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.1,0.1605,1,0.0
57,1901,90,Woody Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.08558899045,0.15757541565,1,0.0
58,1902,90,Woody Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.0615706412,0.15270110839999998,1,0.0
59,1903,90,Woody Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,1.0,1.03659155798,0.14763182885999998,1,0.0
60,1950,95,Emergent Herbaceuous Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,1.1,0.141963768,1,0.0
61,1951,95,Emergent Herbaceuous Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,1.08558899045,0.14181961845,1,0.0
62,1952,95,Emergent Herbaceuous Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,1.0615706412,0.14157936919999997,1,0.0
63,1953,95,Emergent Herbaceuous Wetlands,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),1,Waterbody,Natural,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,1.03659155798,0.14132950998,1,0.0
64,2110,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,1.0,0.056353535,0,0.0
65,2111,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,1.00058899045,0.0690509204,0,0.0
66,2112,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,1.0015706412,0.09021322939999998,0,0.0
67,2113,11,Open Water,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,1.00259155798,0.11222203075999998,1,0.0
68,2120,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.0,0.8,0,0.0
69,2121,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.15058899045,0.70115041565,0,0.0
70,2122,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.4015706412,0.5364011084,0,0.0
71,2123,12,Perennial Ice/Snow,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.66259155798,0.36506182885999994,1,0.0
72,2210,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.516019507,0.160666667,0,0.0
73,2211,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.5892055714,0.1577170826,0,0.0
74,2212,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.7111823454,0.15280110859999999,0,0.0
75,2213,21,"Developed, Open Space",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.83803819036,0.14768849563999997,1,0.0
76,2220,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.429568656,0.227898551,0,0.33
77,2221,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.51572234805,0.214864184,0,0.33
78,2222,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.6593118348,0.193140239,0,0.33
79,2223,22,"Developed, Low Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.80864490102,0.17054733619999998,1,0.33
80,2230,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.327539141,0.208190217,0,0.66
81,2231,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.42899726029999996,0.19811210010000002,0,0.66
82,2232,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.5980941258,0.18131523859999998,0,0.66
83,2233,23,"Developed, Medium Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.77395486592,0.16384650264,1,0.66
84,2240,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.178906654,0.161841892,0,1.0
85,2241,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.30265964635,0.15871602385,0,1.0
86,2242,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.5089146336,0.15350624359999998,0,1.0
87,2243,24,"Developed, High Intensity",,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.72341982034,0.14808807213999997,1,1.0
88,2310,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,0.0,0.613452222,0.231965986,0,0.0
89,2311,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,0.15,0.67202337915,0.21832150375,0,0.0
90,2312,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,0.4,0.7696419744,0.1955807,0,0.0
91,2313,31,Barren Land,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,0.66,0.87116531346,0.17193026409999998,1,0.0
92,2410,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.003926603,0.141895445,1,0.0
93,2411,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.003926603,0.141895445,1,0.0
94,2412,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.003926603,0.141895445,1,0.0
95,2413,41,Deciduous Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,1.0,1.003926603,0.141895445,1,0.0
96,2420,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.003926603,0.140110097,1,0.0
97,2421,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.003926603,0.140110097,1,0.0
98,2422,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.003926603,0.140110097,1,0.0
99,2423,42,Evergreen Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,3,0.66,high,#31a354,1.0,1.003926603,0.140110097,1,0.0
100,2430,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0.0,none,#ffffff,1.0,1.003926603,0.141002771,1,0.0
101,2431,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0.15,low,#e5f5e0,1.0,1.003926603,0.141002771,1,0.0
102,2432,43,Mixed Forest,,NA28,Southern Mixed Forests & Blackland Prairies (NA28),2,Waterbody,Wetland,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,2,0.4,medium,#a1d99b,1.0,1.003926603,0.141002771,1,0.0
